Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,426190,1250,1,NATURALGAS,NATURALGAS23JAN24P150,23-JAN-2024,OPTFUT,PE,150,0.05,
MCX,426191,1250,1,NATURALGAS,NATURALGAS23JAN24P145,23-JAN-2024,OPTFUT,PE,145,0.05,
MCX,426192,1250,1,NATURALGAS,NATURALGAS22FEB24P145,22-FEB-2024,OPTFUT,PE,145,0.05,
MCX,426193,1250,1,NATURALGAS,NATURALGAS22FEB24P140,22-FEB-2024,OPTFUT,PE,140,0.05,
MCX,426234,1250,1,NATURALGAS,NATURALGAS23JAN24C140,23-JAN-2024,OPTFUT,CE,140,0.05,
MCX,426235,1250,1,NATURALGAS,NATURALGAS22FEB24C135,22-FEB-2024,OPTFUT,CE,135,0.05,
MCX,426236,1250,1,NATURALGAS,NATURALGAS22FEB24C130,22-FEB-2024,OPTFUT,CE,130,0.05,
MCX,426239,1250,1,NATURALGAS,NATURALGAS23JAN24P140,23-JAN-2024,OPTFUT,PE,140,0.05,
MCX,426240,1250,1,NATURALGAS,NATURALGAS22FEB24P135,22-FEB-2024,OPTFUT,PE,135,0.05,
MCX,426241,1250,1,NATURALGAS,NATURALGAS22FEB24P130,22-FEB-2024,OPTFUT,PE,130,0.05,
MCX,426253,1250,1,NATURALGAS,NATURALGAS23JAN24C135,23-JAN-2024,OPTFUT,CE,135,0.05,
MCX,426254,1250,1,NATURALGAS,NATURALGAS22FEB24C125,22-FEB-2024,OPTFUT,CE,125,0.05,
MCX,426255,1250,1,NATURALGAS,NATURALGAS23JAN24P135,23-JAN-2024,OPTFUT,PE,135,0.05,
MCX,426256,1250,1,NATURALGAS,NATURALGAS22FEB24P125,22-FEB-2024,OPTFUT,PE,125,0.05,
MCX,426284,1250,1,NATURALGAS,NATURALGAS23JAN24C130,23-JAN-2024,OPTFUT,CE,130,0.05,
MCX,426285,1250,1,NATURALGAS,NATURALGAS23JAN24C125,23-JAN-2024,OPTFUT,CE,125,0.05,
MCX,426286,1250,1,NATURALGAS,NATURALGAS23JAN24C120,23-JAN-2024,OPTFUT,CE,120,0.05,
MCX,426287,1250,1,NATURALGAS,NATURALGAS22FEB24C120,22-FEB-2024,OPTFUT,CE,120,0.05,
MCX,426288,1250,1,NATURALGAS,NATURALGAS22FEB24C115,22-FEB-2024,OPTFUT,CE,115,0.05,
MCX,426289,1250,1,NATURALGAS,NATURALGAS22FEB24C110,22-FEB-2024,OPTFUT,CE,110,0.05,
MCX,426293,1250,1,NATURALGAS,NATURALGAS23JAN24P130,23-JAN-2024,OPTFUT,PE,130,0.05,
MCX,426294,1250,1,NATURALGAS,NATURALGAS23JAN24P125,23-JAN-2024,OPTFUT,PE,125,0.05,
MCX,426295,1250,1,NATURALGAS,NATURALGAS23JAN24P120,23-JAN-2024,OPTFUT,PE,120,0.05,
MCX,426296,1250,1,NATURALGAS,NATURALGAS22FEB24P120,22-FEB-2024,OPTFUT,PE,120,0.05,
MCX,426297,1250,1,NATURALGAS,NATURALGAS22FEB24P115,22-FEB-2024,OPTFUT,PE,115,0.05,
MCX,426298,1250,1,NATURALGAS,NATURALGAS22FEB24P110,22-FEB-2024,OPTFUT,PE,110,0.05,
MCX,426324,1250,1,NATURALGAS,NATURALGAS23JAN24C115,23-JAN-2024,OPTFUT,CE,115,0.05,
MCX,426326,1250,1,NATURALGAS,NATURALGAS23JAN24P115,23-JAN-2024,OPTFUT,PE,115,0.05,
MCX,427446,1250,1,NATURALGAS,NATURALGAS21MAR24C190,21-MAR-2024,OPTFUT,CE,190,0.05,
MCX,427447,1250,1,NATURALGAS,NATURALGAS21MAR24P190,21-MAR-2024,OPTFUT,PE,190,0.05,
MCX,427456,1250,1,NATURALGAS,NATURALGAS21MAR24C175,21-MAR-2024,OPTFUT,CE,175,0.05,
MCX,427457,1250,1,NATURALGAS,NATURALGAS21MAR24C170,21-MAR-2024,OPTFUT,CE,170,0.05,
MCX,427458,1250,1,NATURALGAS,NATURALGAS21MAR24C165,21-MAR-2024,OPTFUT,CE,165,0.05,
MCX,427459,1250,1,NATURALGAS,NATURALGAS21MAR24C160,21-MAR-2024,OPTFUT,CE,160,0.05,
MCX,427460,1250,1,NATURALGAS,NATURALGAS21MAR24C155,21-MAR-2024,OPTFUT,CE,155,0.05,
