id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
3919,CDS,cde_fo,GBPINR,6034,OPTCUR,CE,94.75,GBPINR03MARCH2394.75CE,GBPINR2330394.75CE,GBPINR 03MAR23 94.75 CE,03-03-2023,1,0.0025
3920,CDS,cde_fo,JPYINR,6035,OPTCUR,CE,69.5,JPYINR03MARCH2369.5CE,JPYINR2330369.5CE,JPYINR 03MAR23 69.5 CE,03-03-2023,1,0.0025
3921,CDS,cde_fo,JPYINR,6036,OPTCUR,PE,69.5,JPYINR03MARCH2369.5PE,JPYINR2330369.5PE,JPYINR 03MAR23 69.5 PE,03-03-2023,1,0.0025
3922,CDS,cde_fo,JPYINR,6037,OPTCUR,CE,69.5,JPYINR10MARCH2369.5CE,JPYINR2331069.5CE,JPYINR 10MAR23 69.5 CE,10-03-2023,1,0.0025
3923,CDS,cde_fo,JPYINR,6038,OPTCUR,PE,69.5,JPYINR10MARCH2369.5PE,JPYINR2331069.5PE,JPYINR 10MAR23 69.5 PE,10-03-2023,1,0.0025
3924,CDS,cde_fo,JPYINR,6039,OPTCUR,CE,69.5,JPYINR17MARCH2369.5CE,JPYINR2331769.5CE,JPYINR 17MAR23 69.5 CE,17-03-2023,1,0.0025
3925,CDS,cde_fo,JPYINR,6040,OPTCUR,PE,69.5,JPYINR17MARCH2369.5PE,JPYINR2331769.5PE,JPYINR 17MAR23 69.5 PE,17-03-2023,1,0.0025
3926,CDS,cde_fo,GBPUSD,6041,OPTCUR,CE,1.035,GBPUSD28MARCH231.035CE,GBPUSD23MAR1.035CE,GBPUSD 28MAR23 1.035 CE,28-03-2023,1,0.0001
3927,CDS,cde_fo,GBPUSD,6042,OPTCUR,PE,1.035,GBPUSD28MARCH231.035PE,GBPUSD23MAR1.035PE,GBPUSD 28MAR23 1.035 PE,28-03-2023,1,0.0001
3928,CDS,cde_fo,GBPUSD,6043,OPTCUR,CE,1.04,GBPUSD28MARCH231.04CE,GBPUSD23MAR1.04CE,GBPUSD 28MAR23 1.04 CE,28-03-2023,1,0.0001
3929,CDS,cde_fo,GBPUSD,6044,OPTCUR,PE,1.04,GBPUSD28MARCH231.04PE,GBPUSD23MAR1.04PE,GBPUSD 28MAR23 1.04 PE,28-03-2023,1,0.0001
3930,CDS,cde_fo,GBPUSD,6045,OPTCUR,CE,1.045,GBPUSD28MARCH231.045CE,GBPUSD23MAR1.045CE,GBPUSD 28MAR23 1.045 CE,28-03-2023,1,0.0001
3931,CDS,cde_fo,GBPUSD,6046,OPTCUR,PE,1.045,GBPUSD28MARCH231.045PE,GBPUSD23MAR1.045PE,GBPUSD 28MAR23 1.045 PE,28-03-2023,1,0.0001
3932,CDS,cde_fo,GBPUSD,6047,OPTCUR,CE,1.035,GBPUSD27JUNE231.035CE,GBPUSD23JUN1.035CE,GBPUSD 27JUN23 1.035 CE,27-06-2023,1,0.0001
3933,CDS,cde_fo,GBPUSD,6048,OPTCUR,PE,1.035,GBPUSD27JUNE231.035PE,GBPUSD23JUN1.035PE,GBPUSD 27JUN23 1.035 PE,27-06-2023,1,0.0001
3934,CDS,cde_fo,GBPUSD,6049,OPTCUR,CE,1.04,GBPUSD27JUNE231.04CE,GBPUSD23JUN1.04CE,GBPUSD 27JUN23 1.04 CE,27-06-2023,1,0.0001
3935,CDS,cde_fo,GBPUSD,6050,OPTCUR,PE,1.04,GBPUSD27JUNE231.04PE,GBPUSD23JUN1.04PE,GBPUSD 27JUN23 1.04 PE,27-06-2023,1,0.0001
3936,CDS,cde_fo,GBPUSD,6051,OPTCUR,CE,1.045,GBPUSD27JUNE231.045CE,GBPUSD23JUN1.045CE,GBPUSD 27JUN23 1.045 CE,27-06-2023,1,0.0001
3937,CDS,cde_fo,GBPUSD,6052,OPTCUR,PE,1.045,GBPUSD27JUNE231.045PE,GBPUSD23JUN1.045PE,GBPUSD 27JUN23 1.045 PE,27-06-2023,1,0.0001
3938,CDS,cde_fo,EURINR,6053,OPTCUR,CE,92.5,EURINR28MARCH2392.5CE,EURINR23MAR92.5CE,EURINR 28MAR23 92.5 CE,28-03-2023,1,0.0025
3939,CDS,cde_fo,GBPINR,6054,OPTCUR,CE,101.25,GBPINR28MARCH23101.25CE,GBPINR23MAR101.25CE,GBPINR 28MAR23 101.25 CE,28-03-2023,1,0.0025
3940,CDS,cde_fo,GBPINR,6055,OPTCUR,PE,101.25,GBPINR28MARCH23101.25PE,GBPINR23MAR101.25PE,GBPINR 28MAR23 101.25 PE,28-03-2023,1,0.0025
3941,CDS,cde_fo,GBPINR,6056,OPTCUR,CE,101.5,GBPINR28MARCH23101.5CE,GBPINR23MAR101.5CE,GBPINR 28MAR23 101.5 CE,28-03-2023,1,0.0025
3942,CDS,cde_fo,GBPINR,6057,OPTCUR,PE,101.5,GBPINR28MARCH23101.5PE,GBPINR23MAR101.5PE,GBPINR 28MAR23 101.5 PE,28-03-2023,1,0.0025
3943,CDS,cde_fo,GBPINR,6058,OPTCUR,CE,101.75,GBPINR28MARCH23101.75CE,GBPINR23MAR101.75CE,GBPINR 28MAR23 101.75 CE,28-03-2023,1,0.0025
3944,CDS,cde_fo,GBPINR,6059,OPTCUR,PE,101.75,GBPINR28MARCH23101.75PE,GBPINR23MAR101.75PE,GBPINR 28MAR23 101.75 PE,28-03-2023,1,0.0025
3945,CDS,cde_fo,GBPINR,6060,OPTCUR,CE,102,GBPINR28MARCH23102CE,GBPINR23MAR102CE,GBPINR 28MAR23 102 CE,28-03-2023,1,0.0025
3946,CDS,cde_fo,GBPINR,6061,OPTCUR,PE,102,GBPINR28MARCH23102PE,GBPINR23MAR102PE,GBPINR 28MAR23 102 PE,28-03-2023,1,0.0025
3947,CDS,cde_fo,GBPINR,6062,OPTCUR,CE,102.25,GBPINR28MARCH23102.25CE,GBPINR23MAR102.25CE,GBPINR 28MAR23 102.25 CE,28-03-2023,1,0.0025
